,tournament,city,country,date,tournament_type,discipline,round,winner,nb_sets,retired,game_1_score,game_2_score,game_3_score,team_one_player_one,team_one_player_two,team_two_player_one,team_two_player_two,team_one_player_one_nationality,team_one_player_two_nationality,team_two_player_one_nationality,team_two_player_two_nationality,team_one_total_points,team_two_total_points,team_one_most_consecutive_points,team_two_most_consecutive_points,team_one_game_points,team_two_game_points,team_one_most_consecutive_points_game_1,team_two_most_consecutive_points_game_1,team_one_game_points_game_1,team_two_game_points_game_1,game_1_scores,team_one_most_consecutive_points_game_2,team_two_most_consecutive_points_game_2,team_one_game_points_game_2,team_two_game_points_game_2,game_2_scores,team_one_most_consecutive_points_game_3,team_two_most_consecutive_points_game_3,team_one_game_points_game_3,team_two_game_points_game_3,game_3_scores,team_one_nationalities,team_two_nationalities
2654,YONEX Thailand Open,Bangkok,Thailand,12-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 32,2,2,False,7-21,19-21,,Aaron Chia,Wooi Yik Soh,V Shem Goh,V Shem Goh,MAS,MAS,MAS,MAS,26,42,6,6,0,8,2,6,0,1,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '1-6', '1-7', '1-8', '1-9', '1-10', '1-11', '2-11', '3-11', '3-12', '4-12', '4-13', '4-14', '5-14', '5-15', '6-15', '6-16', '6-17', '6-18', '6-19', '7-19', '7-20', '7-21']",6.0,4.0,0.0,7.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '4-2', '5-2', '5-3', '6-3', '6-4', '6-5', '6-6', '6-7', '7-7', '7-8', '7-9', '7-10', '7-11', '8-11', '8-12', '8-13', '9-13', '9-14', '10-14', '11-14', '11-15', '11-16', '11-17', '12-17', '12-18', '13-18', '13-19', '13-20', '14-20', '15-20', '16-20', '17-20', '18-20', '19-20', '19-21']",,,,,[],MAS,MAS
2655,YONEX Thailand Open,Bangkok,Thailand,12-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 32,1,2,False,21-15,21-16,,Daniel Hess,Jones Ralfy Jansen,Oliver Leydon-Davis,Oliver Leydon-Davis,GER,GER,NZL,NZL,42,31,4,3,3,0,4,3,2,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '4-2', '5-2', '5-3', '6-3', '6-4', '7-4', '7-5', '7-6', '7-7', '8-7', '8-8', '9-8', '10-8', '10-9', '10-10', '10-11', '11-11', '12-11', '12-12', '13-12', '14-12', '15-12', '16-12', '16-13', '17-13', '18-13', '19-13', '19-14', '20-14', '20-15', '21-15']",3.0,3.0,1.0,0.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '4-2', '4-3', '4-4', '4-5', '5-5', '5-6', '6-6', '7-6', '7-7', '8-7', '8-8', '9-8', '10-8', '11-8', '11-9', '12-9', '13-9', '13-10', '13-11', '14-11', '14-12', '15-12', '16-12', '16-13', '16-14', '17-14', '18-14', '18-15', '18-16', '19-16', '20-16', '21-16']",,,,,[],GER,NZL
2656,YONEX Thailand Open,Bangkok,Thailand,13-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 32,1,3,False,13-21,21-8,24-22,Yew Sin Ong,Ee Yi Teo,M.R. Arjun,M.R. Arjun,MAS,MAS,IND,IND,58,51,7,5,3,4,4,5,0,1,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '1-5', '2-5', '2-6', '3-6', '4-6', '5-6', '6-6', '6-7', '7-7', '7-8', '7-9', '7-10', '7-11', '7-12', '8-12', '9-12', '9-13', '9-14', '9-15', '10-15', '11-15', '12-15', '12-16', '12-17', '12-18', '12-19', '13-19', '13-20', '13-21']",7.0,2.0,1.0,0.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '3-2', '4-2', '5-2', '6-2', '6-3', '6-4', '7-4', '8-4', '9-4', '10-4', '11-4', '11-5', '11-6', '12-6', '13-6', '14-6', '15-6', '16-6', '17-6', '18-6', '18-7', '19-7', '19-8', '20-8', '21-8']",2.0,3.0,2.0,3.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '3-4', '4-4', '4-5', '5-5', '5-6', '5-7', '5-8', '6-8', '6-9', '7-9', '7-10', '8-10', '8-11', '9-11', '10-11', '10-12', '10-13', '11-13', '12-13', '12-14', '13-14', '13-15', '14-15', '15-15', '15-16', '15-17', '16-17', '17-17', '17-18', '18-18', '18-19', '18-20', '19-20', '20-20', '20-21', '21-21', '22-21', '22-22', '23-22', '24-22']",MAS,IND
2657,YONEX Thailand Open,Bangkok,Thailand,13-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 32,2,2,False,13-21,18-21,,Kim Astrup,Anders Skaarup Rasmussen,Yang Lee,Yang Lee,DEN,DEN,TPE,TPE,31,42,4,5,0,3,4,4,0,1,"['0-0', '0-1', '0-2', '0-3', '0-4', '1-4', '1-5', '1-6', '2-6', '2-7', '2-8', '3-8', '4-8', '5-8', '6-8', '6-9', '6-10', '7-10', '7-11', '7-12', '7-13', '7-14', '8-14', '8-15', '8-16', '8-17', '9-17', '9-18', '10-18', '11-18', '12-18', '12-19', '13-19', '13-20', '13-21']",3.0,5.0,0.0,2.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '2-3', '2-4', '3-4', '3-5', '4-5', '4-6', '5-6', '5-7', '5-8', '6-8', '7-8', '8-8', '8-9', '9-9', '10-9', '10-10', '11-10', '11-11', '12-11', '12-12', '13-12', '13-13', '14-13', '15-13', '15-14', '16-14', '16-15', '17-15', '17-16', '17-17', '17-18', '17-19', '17-20', '18-20', '18-21']",,,,,[],DEN,TPE
2658,YONEX Thailand Open,Bangkok,Thailand,13-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 32,1,3,False,19-21,21-16,21-14,Satwiksairaj Rankireddy,Chirag Shetty,Gi Jung Kim,Gi Jung Kim,IND,IND,KOR,KOR,61,51,4,3,2,3,2,3,0,3,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '5-5', '5-6', '5-7', '6-7', '7-7', '7-8', '8-8', '8-9', '8-10', '8-11', '9-11', '9-12', '10-12', '10-13', '11-13', '12-13', '12-14', '12-15', '13-15', '13-16', '14-16', '14-17', '15-17', '16-17', '16-18', '16-19', '17-19', '17-20', '18-20', '19-20', '19-21']",3.0,2.0,1.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '4-2', '4-3', '5-3', '5-4', '5-5', '6-5', '6-6', '7-6', '8-6', '9-6', '9-7', '10-7', '10-8', '11-8', '11-9', '12-9', '12-10', '12-11', '13-11', '14-11', '14-12', '15-12', '15-13', '15-14', '16-14', '17-14', '17-15', '18-15', '19-15', '19-16', '20-16', '21-16']",4.0,2.0,1.0,0.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '4-2', '4-3', '4-4', '5-4', '5-5', '6-5', '7-5', '7-6', '8-6', '8-7', '9-7', '10-7', '10-8', '11-8', '11-9', '12-9', '12-10', '13-10', '13-11', '14-11', '14-12', '15-12', '16-12', '17-12', '17-13', '17-14', '18-14', '19-14', '20-14', '21-14']",IND,KOR
2659,YONEX Thailand Open,Bangkok,Thailand,13-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 32,1,2,False,23-21,21-19,,Supak Jomkoh,Kittinupong Kedren,Mark Lamsfuss,Mark Lamsfuss,THA,THA,GER,GER,44,40,4,5,5,2,3,5,1,2,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '5-2', '5-3', '6-3', '6-4', '6-5', '6-6', '6-7', '6-8', '7-8', '7-9', '7-10', '7-11', '7-12', '8-12', '9-12', '10-12', '10-13', '11-13', '12-13', '13-13', '13-14', '14-14', '15-14', '16-14', '16-15', '16-16', '16-17', '17-17', '18-17', '19-17', '19-18', '19-19', '19-20', '20-20', '20-21', '21-21', '22-21', '23-21']",4.0,3.0,4.0,0.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '4-4', '5-4', '5-5', '5-6', '6-6', '6-7', '6-8', '7-8', '8-8', '9-8', '9-9', '10-9', '11-9', '12-9', '13-9', '13-10', '13-11', '14-11', '14-12', '15-12', '15-13', '16-13', '17-13', '17-14', '18-14', '18-15', '19-15', '19-16', '20-16', '20-17', '20-18', '20-19', '21-19']",,,,,[],THA,GER
2660,YONEX Thailand Open,Bangkok,Thailand,13-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 32,2,2,False,17-21,12-21,,Jason Anthony Ho-Shue,Nyl Yakura,Solgyu Choi,Solgyu Choi,CAN,CAN,KOR,KOR,29,42,2,5,0,4,2,4,0,2,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '4-4', '4-5', '4-6', '5-6', '5-7', '6-7', '6-8', '7-8', '8-8', '8-9', '9-9', '10-9', '10-10', '11-10', '11-11', '11-12', '11-13', '11-14', '12-14', '12-15', '13-15', '13-16', '14-16', '15-16', '15-17', '15-18', '16-18', '16-19', '16-20', '17-20', '17-21']",2.0,5.0,0.0,2.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '1-5', '1-6', '2-6', '2-7', '3-7', '3-8', '3-9', '3-10', '4-10', '4-11', '5-11', '6-11', '6-12', '7-12', '8-12', '8-13', '8-14', '8-15', '8-16', '9-16', '9-17', '10-17', '10-18', '10-19', '11-19', '11-20', '12-20', '12-21']",,,,,[],CAN,KOR
2661,YONEX Thailand Open,Bangkok,Thailand,13-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 32,1,2,False,21-17,21-12,,Phillip Chew,Ryan Chew,Apiluk Gaterahong,Apiluk Gaterahong,USA,USA,THA,THA,42,29,13,4,5,0,6,4,1,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '3-3', '3-4', '3-5', '4-5', '4-6', '4-7', '4-8', '5-8', '5-9', '6-9', '6-10', '7-10', '7-11', '8-11', '9-11', '10-11', '10-12', '10-13', '11-13', '12-13', '12-14', '13-14', '13-15', '13-16', '14-16', '15-16', '15-17', '16-17', '17-17', '18-17', '19-17', '20-17', '21-17']",7.0,3.0,4.0,0.0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '6-0', '7-0', '7-1', '8-1', '9-1', '10-1', '11-1', '11-2', '11-3', '12-3', '12-4', '12-5', '12-6', '13-6', '14-6', '15-6', '15-7', '15-8', '16-8', '17-8', '18-8', '18-9', '19-9', '20-9', '20-10', '20-11', '20-12', '21-12']",,,,,[],USA,THA
2662,YONEX Thailand Open,Bangkok,Thailand,13-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 32,2,2,False,14-21,19-21,,Pramudya Kusumawardana,Yeremia Erich Yoche Yacob Rambitan,Mohammad Ahsan,Mohammad Ahsan,INA,INA,INA,INA,33,42,5,4,0,3,2,4,0,2,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '4-2', '4-3', '5-3', '5-4', '5-5', '6-5', '7-5', '7-6', '7-7', '7-8', '7-9', '8-9', '8-10', '8-11', '9-11', '9-12', '10-12', '10-13', '10-14', '10-15', '10-16', '11-16', '11-17', '12-17', '12-18', '12-19', '13-19', '13-20', '14-20', '14-21']",5.0,3.0,0.0,1.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '4-3', '4-4', '5-4', '5-5', '5-6', '5-7', '6-7', '6-8', '7-8', '7-9', '8-9', '9-9', '9-10', '9-11', '9-12', '10-12', '10-13', '11-13', '11-14', '12-14', '13-14', '13-15', '13-16', '13-17', '14-17', '14-18', '14-19', '15-19', '16-19', '17-19', '18-19', '19-19', '19-20', '19-21']",,,,,[],INA,INA
2663,YONEX Thailand Open,Bangkok,Thailand,13-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 32,2,2,False,19-21,14-21,,Manu Attri,B. Sumeeth Reddy,Weeraphat Phakjarung,Weeraphat Phakjarung,IND,IND,THA,THA,33,42,4,5,0,3,4,5,0,2,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '2-4', '2-5', '3-5', '3-6', '4-6', '5-6', '6-6', '6-7', '7-7', '7-8', '8-8', '9-8', '10-8', '11-8', '11-9', '11-10', '11-11', '12-11', '12-12', '12-13', '13-13', '14-13', '14-14', '14-15', '14-16', '14-17', '14-18', '15-18', '15-19', '16-19', '17-19', '18-19', '18-20', '19-20', '19-21']",3.0,5.0,0.0,1.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '5-1', '5-2', '6-2', '7-2', '7-3', '7-4', '7-5', '8-5', '8-6', '8-7', '9-7', '10-7', '10-8', '10-9', '10-10', '11-10', '11-11', '11-12', '11-13', '11-14', '12-14', '12-15', '12-16', '13-16', '14-16', '14-17', '14-18', '14-19', '14-20', '14-21']",,,,,[],IND,THA
2664,YONEX Thailand Open,Bangkok,Thailand,14-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 16,2,2,False,14-21,18-21,,Supak Jomkoh,Kittinupong Kedren,Yang Lee,Yang Lee,THA,THA,TPE,TPE,32,42,3,7,0,5,3,7,0,3,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '0-7', '1-7', '1-8', '1-9', '2-9', '2-10', '3-10', '4-10', '5-10', '5-11', '5-12', '5-13', '6-13', '6-14', '7-14', '8-14', '8-15', '9-15', '9-16', '10-16', '11-16', '12-16', '12-17', '12-18', '12-19', '12-20', '13-20', '14-20', '14-21']",2.0,3.0,0.0,2.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '3-5', '4-5', '5-5', '5-6', '6-6', '6-7', '6-8', '7-8', '8-8', '8-9', '8-10', '9-10', '10-10', '10-11', '10-12', '11-12', '12-12', '12-13', '12-14', '13-14', '13-15', '14-15', '15-15', '15-16', '15-17', '16-17', '16-18', '17-18', '17-19', '17-20', '18-20', '18-21']",,,,,[],THA,TPE
2665,YONEX Thailand Open,Bangkok,Thailand,14-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 16,1,2,False,21-11,21-19,,V Shem Goh,Wee Kiong Tan,Ben Lane,Ben Lane,MAS,MAS,ENG,ENG,42,30,4,3,2,0,4,2,1,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '5-1', '6-1', '6-2', '6-3', '7-3', '8-3', '8-4', '9-4', '10-4', '10-5', '10-6', '11-6', '12-6', '12-7', '12-8', '13-8', '14-8', '15-8', '15-9', '16-9', '17-9', '18-9', '18-10', '18-11', '19-11', '20-11', '21-11']",4.0,3.0,1.0,0.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '2-4', '2-5', '3-5', '3-6', '3-7', '4-7', '5-7', '6-7', '6-8', '6-9', '7-9', '8-9', '9-9', '10-9', '10-10', '10-11', '11-11', '12-11', '13-11', '14-11', '14-12', '15-12', '15-13', '15-14', '16-14', '17-14', '17-15', '17-16', '17-17', '18-17', '18-18', '19-18', '19-19', '20-19', '21-19']",,,,,[],MAS,ENG
2666,YONEX Thailand Open,Bangkok,Thailand,14-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 16,2,2,False,19-21,17-21,,Satwiksairaj Rankireddy,Chirag Shetty,Mohammad Ahsan,Mohammad Ahsan,IND,IND,INA,INA,36,42,4,5,0,3,4,5,0,1,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '4-2', '4-3', '5-3', '5-4', '6-4', '6-5', '6-6', '7-6', '8-6', '8-7', '8-8', '8-9', '8-10', '8-11', '9-11', '10-11', '10-12', '11-12', '12-12', '12-13', '12-14', '13-14', '13-15', '13-16', '14-16', '15-16', '15-17', '16-17', '17-17', '18-17', '18-18', '19-18', '19-19', '19-20', '19-21']",4.0,4.0,0.0,2.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '3-3', '3-4', '3-5', '3-6', '4-6', '4-7', '4-8', '5-8', '6-8', '7-8', '7-9', '7-10', '8-10', '8-11', '8-12', '8-13', '8-14', '9-14', '9-15', '10-15', '11-15', '12-15', '13-15', '13-16', '14-16', '14-17', '15-17', '16-17', '16-18', '16-19', '16-20', '17-20', '17-21']",,,,,[],IND,INA
2667,YONEX Thailand Open,Bangkok,Thailand,14-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 16,2,2,False,19-21,10-21,,Mathias Christiansen,Niclas Nohr,Sze Fei Goh,Sze Fei Goh,DEN,DEN,MAS,MAS,29,42,2,6,0,4,2,4,0,3,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '4-2', '4-3', '4-4', '5-4', '5-5', '5-6', '5-7', '6-7', '7-7', '7-8', '8-8', '9-8', '9-9', '9-10', '10-10', '10-11', '11-11', '11-12', '12-12', '12-13', '12-14', '13-14', '14-14', '14-15', '15-15', '15-16', '15-17', '15-18', '15-19', '16-19', '17-19', '17-20', '18-20', '19-20', '19-21']",2.0,6.0,0.0,1.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '2-4', '3-4', '3-5', '4-5', '4-6', '5-6', '5-7', '5-8', '6-8', '6-9', '7-9', '8-9', '8-10', '8-11', '8-12', '8-13', '8-14', '8-15', '9-15', '9-16', '9-17', '9-18', '10-18', '10-19', '10-20', '10-21']",,,,,[],DEN,MAS
2668,YONEX Thailand Open,Bangkok,Thailand,14-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 16,2,2,False,12-21,16-21,,Daniel Hess,Jones Ralfy Jansen,Marcus Ellis,Marcus Ellis,GER,GER,ENG,ENG,28,42,4,5,0,2,2,5,0,1,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '1-5', '2-5', '2-6', '3-6', '4-6', '4-7', '4-8', '5-8', '6-8', '6-9', '6-10', '6-11', '6-12', '6-13', '7-13', '7-14', '7-15', '8-15', '8-16', '9-16', '10-16', '10-17', '10-18', '11-18', '11-19', '12-19', '12-20', '12-21']",4.0,4.0,0.0,1.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '2-4', '2-5', '3-5', '3-6', '3-7', '3-8', '3-9', '4-9', '5-9', '6-9', '6-10', '6-11', '6-12', '7-12', '7-13', '8-13', '8-14', '9-14', '9-15', '10-15', '10-16', '11-16', '11-17', '12-17', '12-18', '12-19', '13-19', '14-19', '15-19', '16-19', '16-20', '16-21']",,,,,[],GER,ENG
2669,YONEX Thailand Open,Bangkok,Thailand,14-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 16,1,2,False,21-12,21-7,,Yew Sin Ong,Ee Yi Teo,Phillip Chew,Phillip Chew,MAS,MAS,USA,USA,42,19,11,3,2,0,4,3,1,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '4-2', '4-3', '5-3', '6-3', '7-3', '7-4', '7-5', '7-6', '8-6', '8-7', '9-7', '10-7', '11-7', '12-7', '12-8', '13-8', '14-8', '15-8', '15-9', '16-9', '16-10', '17-10', '17-11', '18-11', '19-11', '19-12', '20-12', '21-12']",9.0,2.0,1.0,0.0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '6-0', '7-0', '8-0', '9-0', '9-1', '10-1', '11-1', '11-2', '12-2', '12-3', '13-3', '14-3', '15-3', '16-3', '16-4', '17-4', '17-5', '18-5', '18-6', '18-7', '19-7', '20-7', '21-7']",,,,,[],MAS,USA
2670,YONEX Thailand Open,Bangkok,Thailand,14-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 16,2,2,False,9-21,12-21,,Weeraphat Phakjarung,Wongsathorn Thongkham,Solgyu Choi,Solgyu Choi,THA,THA,KOR,KOR,21,42,3,7,0,2,2,5,0,1,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '1-5', '1-6', '1-7', '1-8', '2-8', '2-9', '2-10', '3-10', '3-11', '3-12', '3-13', '3-14', '3-15', '4-15', '5-15', '5-16', '6-16', '6-17', '6-18', '7-18', '8-18', '8-19', '9-19', '9-20', '9-21']",3.0,7.0,0.0,1.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '4-4', '5-4', '5-5', '5-6', '5-7', '5-8', '6-8', '7-8', '8-8', '8-9', '8-10', '8-11', '8-12', '9-12', '9-13', '9-14', '9-15', '9-16', '9-17', '9-18', '9-19', '10-19', '11-19', '12-19', '12-20', '12-21']",,,,,[],THA,KOR
2671,YONEX Thailand Open,Bangkok,Thailand,14-01-2021,HSBC BWF World Tour Super 1000,MD,Round of 16,2,3,False,21-16,17-21,20-22,Fajar Alfian,Muhammad Rian Ardianto,Leo Rolly Carnando,Leo Rolly Carnando,INA,INA,INA,INA,58,59,7,5,1,4,7,3,1,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '5-3', '6-3', '7-3', '8-3', '9-3', '10-3', '10-4', '11-4', '11-5', '11-6', '12-6', '12-7', '12-8', '12-9', '13-9', '13-10', '14-10', '15-10', '15-11', '15-12', '16-12', '16-13', '17-13', '17-14', '18-14', '19-14', '19-15', '19-16', '20-16', '21-16']",3.0,5.0,0.0,1.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '2-4', '2-5', '2-6', '3-6', '3-7', '4-7', '5-7', '6-7', '6-8', '6-9', '7-9', '7-10', '7-11', '7-12', '8-12', '8-13', '9-13', '10-13', '11-13', '11-14', '11-15', '12-15', '12-16', '13-16', '14-16', '15-16', '15-17', '16-17', '16-18', '16-19', '17-19', '17-20', '17-21']",2.0,5.0,0.0,3.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '4-2', '4-3', '5-3', '6-3', '6-4', '6-5', '6-6', '6-7', '6-8', '7-8', '8-8', '8-9', '8-10', '9-10', '10-10', '10-11', '11-11', '12-11', '12-12', '12-13', '13-13', '14-13', '14-14', '15-14', '15-15', '15-16', '15-17', '16-17', '17-17', '17-18', '18-18', '18-19', '18-20', '19-20', '20-20', '20-21', '20-22']",INA,INA
2672,YONEX Thailand Open,Bangkok,Thailand,15-01-2021,HSBC BWF World Tour Super 1000,MD,Quarter final,2,3,False,21-12,14-21,15-21,Marcus Ellis,Chris Langridge,Leo Rolly Carnando,Leo Rolly Carnando,ENG,ENG,INA,INA,50,54,5,6,3,3,5,2,3,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '5-1', '6-1', '7-1', '8-1', '8-2', '9-2', '9-3', '9-4', '10-4', '10-5', '10-6', '11-6', '12-6', '13-6', '13-7', '13-8', '14-8', '15-8', '15-9', '16-9', '16-10', '17-10', '18-10', '19-10', '20-10', '20-11', '20-12', '21-12']",3.0,5.0,0.0,2.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '3-4', '4-4', '4-5', '4-6', '4-7', '4-8', '5-8', '5-9', '6-9', '6-10', '7-10', '7-11', '7-12', '8-12', '8-13', '9-13', '9-14', '9-15', '9-16', '9-17', '9-18', '10-18', '10-19', '11-19', '12-19', '13-19', '13-20', '14-20', '14-21']",3.0,6.0,0.0,1.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '5-2', '5-3', '6-3', '7-3', '8-3', '8-4', '9-4', '9-5', '9-6', '9-7', '9-8', '9-9', '9-10', '10-10', '11-10', '12-10', '12-11', '13-11', '13-12', '13-13', '13-14', '13-15', '14-15', '14-16', '14-17', '14-18', '15-18', '15-19', '15-20', '15-21']",ENG,INA
2673,YONEX Thailand Open,Bangkok,Thailand,15-01-2021,HSBC BWF World Tour Super 1000,MD,Quarter final,1,2,False,23-21,21-15,,Yang Lee,Chi-Lin Wang,Yew Sin Ong,Yew Sin Ong,TPE,TPE,MAS,MAS,44,36,3,4,3,1,3,4,2,1,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '4-2', '4-3', '4-4', '4-5', '4-6', '5-6', '5-7', '6-7', '7-7', '7-8', '7-9', '8-9', '9-9', '10-9', '10-10', '11-10', '12-10', '12-11', '12-12', '13-12', '13-13', '13-14', '14-14', '14-15', '15-15', '16-15', '16-16', '17-16', '17-17', '17-18', '18-18', '19-18', '19-19', '19-20', '20-20', '21-20', '21-21', '22-21', '23-21']",3.0,2.0,1.0,0.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '4-2', '4-3', '5-3', '6-3', '6-4', '7-4', '7-5', '8-5', '8-6', '8-7', '9-7', '9-8', '10-8', '11-8', '12-8', '12-9', '13-9', '14-9', '14-10', '15-10', '15-11', '15-12', '16-12', '16-13', '17-13', '18-13', '18-14', '18-15', '19-15', '20-15', '21-15']",,,,,[],TPE,MAS
2674,YONEX Thailand Open,Bangkok,Thailand,15-01-2021,HSBC BWF World Tour Super 1000,MD,Quarter final,2,2,False,16-21,19-21,,Sze Fei Goh,Nur Izzuddin,V Shem Goh,V Shem Goh,MAS,MAS,MAS,MAS,35,42,4,4,0,4,3,4,0,2,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '4-2', '5-2', '5-3', '5-4', '6-4', '7-4', '7-5', '7-6', '8-6', '8-7', '8-8', '8-9', '9-9', '9-10', '10-10', '11-10', '12-10', '12-11', '13-11', '13-12', '13-13', '13-14', '13-15', '14-15', '14-16', '14-17', '14-18', '15-18', '15-19', '15-20', '16-20', '16-21']",4.0,4.0,0.0,2.0,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '4-2', '5-2', '6-2', '7-2', '7-3', '8-3', '8-4', '8-5', '8-6', '8-7', '9-7', '10-7', '10-8', '10-9', '11-9', '12-9', '12-10', '12-11', '13-11', '13-12', '14-12', '14-13', '14-14', '14-15', '14-16', '15-16', '16-16', '16-17', '16-18', '16-19', '17-19', '18-19', '18-20', '19-20', '19-21']",,,,,[],MAS,MAS
2675,YONEX Thailand Open,Bangkok,Thailand,15-01-2021,HSBC BWF World Tour Super 1000,MD,Quarter final,1,2,False,21-16,21-19,,Solgyu Choi,Seung Jae Seo,Mohammad Ahsan,Mohammad Ahsan,KOR,KOR,INA,INA,42,35,4,5,3,0,4,4,1,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '3-3', '3-4', '3-5', '4-5', '5-5', '6-5', '7-5', '7-6', '8-6', '8-7', '8-8', '9-8', '10-8', '11-8', '11-9', '11-10', '11-11', '11-12', '12-12', '12-13', '13-13', '14-13', '14-14', '15-14', '16-14', '16-15', '17-15', '17-16', '18-16', '19-16', '20-16', '21-16']",4.0,5.0,2.0,0.0,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '1-5', '2-5', '3-5', '4-5', '4-6', '5-6', '5-7', '5-8', '6-8', '7-8', '7-9', '8-9', '9-9', '9-10', '10-10', '11-10', '11-11', '12-11', '12-12', '12-13', '13-13', '13-14', '14-14', '14-15', '14-16', '15-16', '16-16', '16-17', '17-17', '17-18', '18-18', '19-18', '20-18', '20-19', '21-19']",,,,,[],KOR,INA
